school_level,district,peer_index,overall_score,environment_score,performance_score,progress_score,additional_credit,num_test_takers,sat_critical_reading_mean,sat_mathematics_mean,sat_writing_mean,sat_flag
Middle,13,2.2,11.8,0.9,2.4,7.7,0.8,,,,,0
Middle,13,2.72,16.3,8.7,0.0,7.6,0.0,,,,,0
Middle,13,2.61,25.0,3.0,1.5,19.0,1.5,,,,,0
Elementary,14,60.54,13.9,6.8,2.1,5.0,0.0,,,,,0
Elementary,14,60.97,60.9,6.2,9.4,37.5,7.8,,,,,0
Elementary,14,59.36,52.1,9.4,7.0,34.2,1.5,,,,,0
Elementary,14,60.27,27.2,10.2,0.0,17.0,0.0,,,,,0
Elementary,14,64.18,59.0,13.8,4.7,35.2,5.3,,,,,0
Elementary,14,40.14,97.4,11.7,22.7,60.0,3.0,,,,,0
Elementary,14,30.81,57.1,13.1,12.2,29.3,2.5,,,,,0
Middle,14,2.32,45.0,4.9,5.8,31.0,3.3,,,,,0
Elementary,14,61.93,12.1,5.8,0.6,5.7,0.0,,,,,0
Elementary,14,61.4,27.5,9.5,0.9,17.1,0.0,,,,,0
Elementary,14,35.1,28.8,9.8,8.0,11.0,0.0,,,,,0
Elementary,14,64.19,35.6,12.7,3.1,19.8,0.0,,,,,0
Middle,14,2.3,44.1,5.9,5.1,31.3,1.8,,,,,0
Elementary,14,44.67,47.7,10.3,9.8,26.1,1.5,,,,,0
Elementary,14,64.17,63.7,10.9,6.7,43.1,3.0,,,,,0
Elementary,14,65.03,50.1,11.9,6.2,27.7,4.3,,,,,0
Elementary,14,61.46,62.5,11.3,14.2,29.2,7.8,,,,,0
Elementary,14,50.61,42.1,9.2,8.4,24.5,0.0,,,,,0
Elementary,14,64.51,72.3,12.7,10.8,43.5,5.3,,,,,0
Elementary,14,62.82,36.1,7.7,1.5,24.6,2.3,,,,,0
Middle,14,3.27,30.6,10.6,4.6,13.6,1.8,,,,,0
Middle,14,2.38,41.5,6.9,6.2,28.4,0.0,,,,,0
Elementary,14,59.38,92.9,15.0,18.3,48.8,10.8,,,,,0
Middle,14,2.99,48.6,11.1,8.0,24.7,4.8,,,,,0
Middle,14,2.59,53.2,6.6,9.2,32.1,5.3,,,,,0
Middle,14,2.51,14.3,6.4,0.6,7.3,0.0,,,,,0
Middle,14,2.54,38.0,10.0,5.8,20.7,1.5,,,,,0
Elementary,15,60.68,36.9,9.0,8.1,19.3,0.5,,,,,0
Elementary,15,45.88,58.8,10.7,9.8,31.8,6.5,,,,,0
Elementary,15,66.33,76.8,10.7,13.1,42.7,10.3,,,,,0
Elementary,15,65.46,40.1,8.9,4.3,26.1,0.8,,,,,0
Elementary,15,20.71,59.0,8.0,11.0,35.0,5.0,,,,,0
Elementary,15,60.99,62.6,9.2,8.9,38.2,6.3,,,,,0
Elementary,15,51.1,27.5,4.1,5.4,16.7,1.3,,,,,0
Elementary,15,28.18,52.5,7.9,7.5,34.3,2.8,,,,,0
Middle,15,3.48,65.9,9.1,13.5,35.3,8.0,,,,,0
Elementary,15,20.61,61.0,8.6,4.9,40.5,7.0,,,,,0
Middle,15,2.54,52.3,8.6,9.9,29.8,4.0,,,,,0
Elementary,15,49.23,45.4,5.4,6.6,31.9,1.5,,,,,0
Elementary,15,16.88,62.3,8.0,11.4,39.1,3.8,,,,,0
Elementary,15,57.49,67.0,7.9,10.2,46.6,2.3,,,,,0
Elementary,15,49.45,54.3,7.4,10.5,34.6,1.8,,,,,0
Elementary,15,53.74,62.8,10.5,9.2,40.1,3.0,,,,,0
Middle,15,2.35,41.1,8.6,4.4,28.1,0.0,,,,,0
Elementary,15,29.81,52.2,8.8,6.7,29.4,7.3,,,,,0
Elementary,15,23.57,40.3,7.7,7.7,22.4,2.5,,,,,0
Elementary,15,51.07,42.1,9.1,5.2,26.3,1.5,,,,,0
Elementary,15,62.7,105.1,15.0,25.0,55.8,9.3,,,,,0
Elementary,15,37.38,34.5,10.1,6.2,18.2,0.0,,,,,0
Elementary,15,33.07,45.9,6.0,7.3,28.6,4.0,,,,,0
Elementary,15,48.42,70.6,9.9,9.7,48.7,2.3,,,,,0
Elementary,15,15.07,76.8,10.6,14.1,44.3,7.8,,,,,0
Elementary,15,16.12,70.0,8.3,14.5,45.7,1.5,,,,,0
Middle,15,1.91,56.2,10.5,7.2,37.7,0.8,,,,,0
Middle,15,2.98,71.4,10.4,15.7,38.3,7.0,,,,,0
Middle,15,3.25,67.1,6.9,16.5,37.4,6.3,,,,,0
Middle,15,2.86,69.2,8.3,11.8,41.8,7.3,,,,,0
Elementary,16,60.67,57.8,5.2,6.6,43.7,2.3,,,,,0
Elementary,16,54.57,64.2,9.6,10.2,37.1,7.3,,,,,0
Elementary,16,62.84,35.4,3.2,5.7,22.2,4.3,,,,,0
Elementary,16,59.8,33.2,6.3,7.6,19.3,0.0,,,,,0
Elementary,16,59.27,56.5,10.9,3.8,41.0,0.8,,,,,0
Middle,16,2.34,68.1,9.9,8.7,42.2,7.3,,,,,0
Elementary,16,59.56,80.3,8.4,7.0,56.9,8.0,,,,,0
Middle,16,2.43,42.4,10.2,4.1,26.8,1.3,,,,,0
Elementary,16,62.53,42.1,7.6,5.8,23.4,5.3,,,,,0
Elementary,16,63.97,15.1,6.7,4.9,3.5,0.0,,,,,0
Elementary,16,62.09,94.6,9.1,17.1,59.4,9.0,,,,,0
Middle,16,2.2,57.6,8.8,9.7,35.6,3.5,,,,,0
K-8,16,57.01,35.7,3.4,5.0,26.5,0.8,,,,,0
Elementary,16,60.65,33.8,9.6,3.2,19.5,1.5,,,,,0
Elementary,16,65.55,53.7,5.8,14.3,30.1,3.5,,,,,0
Middle,16,2.13,67.5,5.3,11.1,45.6,5.5,,,,,0
Middle,16,2.13,38.6,2.5,4.5,30.3,1.3,,,,,0
Middle,16,2.38,18.6,5.5,2.2,10.4,0.5,,,,,0
Elementary,16,65.29,64.7,9.8,5.6,44.0,5.3,,,,,0
Middle,17,2.36,59.1,10.0,7.4,36.9,4.8,,,,,0
Elementary,17,60.87,54.2,8.9,7.1,36.7,1.5,,,,,0
Elementary,17,62.04,44.9,5.4,8.4,29.6,1.5,,,,,0
Elementary,17,64.98,13.6,2.5,3.2,7.1,0.8,,,,,0
Middle,17,2.96,26.9,5.0,3.5,14.9,3.5,,,,,0
Elementary,17,66.08,29.1,6.3,9.3,13.0,0.5,,,,,0
Elementary,17,61.48,29.7,8.6,4.3,15.3,1.5,,,,,0
K-8,17,61.43,59.5,9.7,10.3,35.0,4.5,,,,,0
K-8,17,55.98,21.3,6.0,6.2,9.1,0.0,,,,,0
Elementary,17,64.61,20.7,5.7,2.7,12.3,0.0,,,,,0
K-8,17,56.46,32.2,3.3,6.7,20.2,2.0,,,,,0
K-8,17,59.69,50.2,10.2,12.1,24.4,3.5,,,,,0
Elementary,17,64.38,36.2,6.9,4.2,24.1,1.0,,,,,0
Elementary,17,60.84,36.8,8.1,5.4,20.8,2.5,,,,,0
Elementary,17,60.87,32.6,8.5,13.1,9.5,1.5,,,,,0
Middle,17,2.19,51.4,7.2,5.4,35.0,3.8,,,,,0
Elementary,17,59.8,55.2,4.0,9.2,39.2,2.8,,,,,0
Elementary,17,61.5,68.8,5.8,10.5,46.5,6.0,,,,,0
Middle,17,2.0,43.4,6.2,4.4,31.3,1.5,,,,,0
Middle,17,3.44,47.5,5.8,4.1,31.6,6.0,,,,,0
Middle,17,2.35,49.7,6.1,4.6,34.7,4.3,,,,,0
Middle,17,2.14,70.9,9.1,8.0,47.5,6.3,,,,,0
Middle,17,2.12,75.2,9.2,10.6,47.9,7.5,,,,,0
Elementary,17,60.43,44.5,9.8,5.0,26.7,3.0,,,,,0
K-8,17,57.04,36.8,8.9,7.4,18.5,2.0,,,,,0
Elementary,17,61.16,41.1,9.6,3.4,28.1,0.0,,,,,0
Elementary,17,65.36,53.8,2.9,10.6,36.5,3.8,,,,,0
Elementary,17,57.33,86.3,11.0,19.6,54.2,1.5,,,,,0
Middle,17,2.48,40.0,6.8,6.6,22.8,3.8,,,,,0
Middle,17,2.4,16.5,6.4,0.8,7.8,1.5,,,,,0
K-8,18,50.1,59.1,9.1,10.5,33.5,6.0,,,,,0
Middle,18,2.5,39.4,5.2,5.1,27.3,1.8,,,,,0
Elementary,18,53.34,16.0,0.0,0.7,12.5,2.8,,,,,0
Elementary,18,52.55,53.6,10.5,8.5,32.6,2.0,,,,,0
Elementary,18,58.06,50.8,11.0,7.8,30.7,1.3,,,,,0
Elementary,18,53.52,56.0,11.1,9.3,34.3,1.3,,,,,0
Middle,18,2.6,50.3,7.8,9.3,29.7,3.5,,,,,0
Elementary,18,60.32,36.1,6.3,6.3,22.2,1.3,,,,,0
Elementary,18,57.39,36.1,5.7,7.4,23.0,0.0,,,,,0
K-8,18,48.76,50.2,8.0,14.5,25.7,2.0,,,,,0
Elementary,18,54.95,57.4,8.3,9.0,38.1,2.0,,,,,0
Elementary,18,59.72,36.5,8.7,5.4,20.6,1.8,,,,,0
Elementary,18,60.88,40.4,4.8,4.8,28.3,2.5,,,,,0
Elementary,18,54.18,34.8,6.0,6.0,22.8,0.0,,,,,0
Elementary,18,54.4,35.1,6.1,6.7,20.3,2.0,,,,,0
Middle,18,2.91,32.0,3.9,5.5,22.6,0.0,,,,,0
Middle,18,2.34,17.1,2.4,4.0,10.2,0.5,,,,,0
Middle,18,2.52,32.7,3.4,4.9,23.6,0.8,,,,,0
Middle,18,2.6,37.6,6.4,8.2,23.0,0.0,,,,,0
Elementary,19,59.34,48.8,6.8,9.8,30.7,1.5,,,,,0
Elementary,19,61.11,32.9,7.4,2.9,21.8,0.8,,,,,0
Elementary,19,57.04,72.3,12.6,15.2,41.5,3.0,,,,,0
K-8,19,63.11,49.6,10.5,4.4,32.4,2.3,,,,,0
Elementary,19,58.0,45.2,9.2,9.4,26.6,0.0,,,,,0
Elementary,19,63.5,32.6,4.9,7.4,18.0,2.3,,,,,0
Elementary,19,60.01,38.3,7.9,5.0,22.4,3.0,,,,,0
Elementary,19,49.76,26.3,5.4,1.7,17.7,1.5,,,,,0
Middle,19,2.27,39.5,4.9,5.1,25.7,3.8,,,,,0
Middle,19,2.89,37.6,5.5,3.4,26.7,2.0,,,,,0
K-8,19,58.42,30.4,7.3,0.5,21.8,0.8,,,,,0
Elementary,19,61.38,62.1,7.1,10.2,38.8,6.0,,,,,0
K-8,19,60.65,12.5,5.6,5.6,0.0,1.3,,,,,0
Elementary,19,60.65,33.8,8.4,9.3,15.6,0.5,,,,,0
Elementary,19,48.35,43.5,6.5,4.4,30.3,2.3,,,,,0
Middle,19,2.56,59.7,5.3,9.1,39.0,6.3,,,,,0
Elementary,19,58.34,40.8,4.6,4.1,32.1,0.0,,,,,0
Elementary,19,60.61,16.3,1.3,1.4,12.8,0.8,,,,,0
Elementary,19,57.07,33.8,9.5,7.5,16.8,0.0,,,,,0
Elementary,19,58.71,45.3,9.9,8.8,26.6,0.0,,,,,0
Middle,19,2.64,40.6,5.3,7.3,26.0,2.0,,,,,0
Middle,19,2.74,30.2,3.5,2.3,23.6,0.8,,,,,0
K-8,19,60.24,41.5,4.0,4.2,31.0,2.3,,,,,0
Middle,19,2.77,43.9,6.5,4.6,32.0,0.8,,,,,0
K-8,19,65.26,44.2,3.0,3.3,33.4,4.5,,,,,0
Elementary,19,61.94,44.2,3.8,5.8,31.1,3.5,,,,,0
Elementary,19,50.85,32.9,4.2,4.9,22.8,1.0,,,,,0
Middle,19,2.89,50.4,7.1,9.2,30.3,3.8,,,,,0
Middle,19,3.26,43.2,8.7,6.1,26.9,1.5,,,,,0
Middle,20,3.1,70.0,8.3,12.5,42.2,7.0,,,,,0
Elementary,20,36.11,52.5,7.6,10.2,28.9,5.8,,,,,0
Middle,20,2.54,66.0,9.9,8.0,42.3,5.8,,,,,0
Elementary,20,37.32,75.6,12.3,8.5,46.8,8.0,,,,,0
Elementary,20,33.23,45.9,8.1,10.4,25.1,2.3,,,,,0
K-8,20,26.87,57.8,9.6,10.1,31.6,6.5,,,,,0
Elementary,20,34.11,69.6,11.3,13.9,39.9,4.5,,,,,0
Elementary,20,31.71,53.7,9.6,8.5,34.1,1.5,,,,,0
Elementary,20,35.55,25.8,7.6,5.5,11.9,0.8,,,,,0
Elementary,20,39.57,44.8,9.7,8.1,25.2,1.8,,,,,0
Elementary,20,35.78,65.6,9.5,9.4,44.4,2.3,,,,,0
Elementary,20,55.23,85.9,13.1,13.9,47.4,11.5,,,,,0
Elementary,20,35.87,53.6,8.2,8.9,33.7,2.8,,,,,0
Elementary,20,31.47,63.1,9.5,11.1,39.0,3.5,,,,,0
Elementary,20,44.57,38.8,6.9,3.4,26.2,2.3,,,,,0
K-8,20,30.55,46.1,9.9,5.5,27.4,3.3,,,,,0
Elementary,20,21.11,40.2,8.1,7.1,24.5,0.5,,,,,0
Elementary,20,32.66,54.3,6.6,7.4,35.5,4.8,,,,,0
Middle,20,3.95,84.9,11.8,20.9,52.2,0.0,,,,,0
K-8,20,53.11,74.0,8.3,3.5,52.2,10.0,,,,,0
Elementary,20,29.01,48.3,3.6,6.3,34.4,4.0,,,,,0
Middle,20,3.27,63.7,8.1,11.5,36.1,8.0,,,,,0
Elementary,20,26.4,58.7,11.3,9.2,36.7,1.5,,,,,0
Elementary,20,39.46,57.4,6.2,7.7,34.7,8.8,,,,,0
Middle,20,2.8,50.4,6.8,6.4,37.2,0.0,,,,,0
Middle,20,2.62,60.3,8.3,9.3,38.2,4.5,,,,,0
Middle,20,2.9,54.0,5.0,8.2,35.8,5.0,,,,,0
Elementary,20,20.71,52.7,7.9,11.1,32.7,1.0,,,,,0
Elementary,20,30.07,81.4,8.4,14.5,48.2,10.3,,,,,0
Middle,20,3.12,74.7,11.5,10.7,42.2,10.3,,,,,0
Elementary,20,58.81,45.2,10.4,4.6,29.4,0.8,,,,,0
Elementary,24,15.88,62.0,11.3,12.3,36.6,1.8,,,,,0
Elementary,20,54.32,48.3,10.1,4.7,30.0,3.5,,,,,0
Middle,20,2.92,45.5,6.8,6.5,31.4,0.8,,,,,0
Elementary,21,54.97,49.3,7.9,4.6,34.3,2.5,,,,,0
K-8,21,40.01,35.5,4.1,2.4,26.5,2.5,,,,,0
Middle,21,2.83,46.5,4.7,7.9,31.4,2.5,,,,,0
Elementary,21,29.88,61.8,10.4,7.4,36.7,7.3,,,,,0
Middle,21,3.64,62.8,7.4,14.4,38.0,3.0,,,,,0
K-8,21,40.92,66.9,9.2,9.9,40.0,7.8,,,,,0
Elementary,21,29.67,53.5,8.5,11.7,30.3,3.0,,,,,0
Elementary,21,29.5,57.4,11.3,11.7,32.6,1.8,,,,,0
K-8,21,45.12,59.8,11.7,9.9,31.7,6.5,,,,,0
Elementary,21,35.29,54.7,10.9,0.8,38.5,4.5,,,,,0
Elementary,21,38.36,50.9,6.7,7.7,30.2,6.3,,,,,0
Elementary,21,37.55,62.1,7.8,12.6,37.4,4.3,,,,,0
Elementary,21,54.89,33.3,9.1,3.7,19.5,1.0,,,,,0
Elementary,21,34.33,56.6,7.2,11.1,35.8,2.5,,,,,0
K-8,21,33.97,41.0,6.9,6.1,23.2,4.8,,,,,0
Elementary,21,43.14,57.7,9.8,8.4,34.7,4.8,,,,,0
Elementary,21,29.64,37.9,7.2,7.4,20.8,2.5,,,,,0
Elementary,21,32.81,55.0,8.6,10.4,35.5,0.5,,,,,0
K-8,21,40.3,62.0,8.1,6.6,38.0,9.3,,,,,0
K-8,21,41.22,70.8,9.8,11.3,41.7,8.0,,,,,0
Middle,21,3.06,40.4,4.7,7.9,25.3,2.5,,,,,0
K-8,21,51.64,44.7,10.4,5.8,26.5,2.0,,,,,0
Middle,21,3.82,71.7,10.0,17.5,38.9,5.3,,,,,0
Elementary,21,47.23,60.8,11.2,9.0,32.6,8.0,,,,,0
Middle,21,3.02,54.4,6.8,9.5,31.8,6.3,,,,,0
K-8,21,62.28,57.1,5.0,4.1,40.0,8.0,,,,,0
Middle,21,2.94,55.7,8.6,12.6,28.5,6.0,,,,,0
Elementary,21,60.76,37.5,9.7,6.0,20.0,1.8,,,,,0
Middle,21,2.99,52.7,8.8,9.0,32.4,2.5,,,,,0
Middle,22,2.42,42.0,6.9,6.7,26.1,2.3,,,,,0
Elementary,22,37.3,43.6,7.4,5.1,25.8,5.3,,,,,0
Middle,22,2.84,42.0,6.0,7.5,24.0,4.5,,,,,0
K-8,22,59.99,46.8,6.7,4.6,31.0,4.5,,,,,0
Elementary,22,48.56,52.6,12.7,7.2,31.7,1.0,,,,,0
Elementary,22,52.2,64.8,9.4,17.4,36.0,2.0,,,,,0
Elementary,22,51.56,22.5,6.2,3.7,12.6,0.0,,,,,0
Elementary,22,53.19,35.8,10.6,7.1,16.6,1.5,,,,,0
Elementary,22,44.35,51.8,8.8,12.9,28.6,1.5,,,,,0
Elementary,22,55.35,37.0,8.2,6.4,20.4,2.0,,,,,0
Elementary,22,11.09,67.8,8.6,12.9,44.3,2.0,,,,,0
Elementary,22,41.82,68.6,9.8,6.8,44.2,7.8,,,,,0
Elementary,22,52.47,29.2,5.4,1.9,20.4,1.5,,,,,0
Elementary,22,55.65,35.2,7.3,5.1,21.5,1.3,,,,,0
K-8,22,27.19,66.1,6.1,13.6,39.6,6.8,,,,,0
K-8,22,28.01,40.4,8.7,9.0,19.4,3.3,,,,,0
Elementary,22,41.41,49.5,9.4,8.7,28.6,2.8,,,,,0
Elementary,22,28.68,77.6,10.2,16.7,43.7,7.0,,,,,0
Middle,22,3.49,54.2,8.4,9.8,29.7,6.3,,,,,0
Elementary,22,22.73,44.3,9.6,9.8,20.6,4.3,,,,,0
Middle,22,3.0,43.3,3.9,5.5,27.9,6.0,,,,,0
Elementary,22,58.77,61.3,11.7,8.7,39.4,1.5,,,,,0
Elementary,22,56.06,38.7,5.7,4.7,26.3,2.0,,,,,0
Elementary,22,30.26,59.3,8.7,16.7,33.1,0.8,,,,,0
Elementary,22,33.7,75.8,11.0,13.3,43.0,8.5,,,,,0
Elementary,22,60.09,29.8,9.4,4.3,15.6,0.5,,,,,0
Elementary,22,18.87,58.5,9.6,10.5,34.6,3.8,,,,,0
Middle,22,3.01,24.8,9.5,3.2,11.1,1.0,,,,,0
Elementary,22,29.61,36.1,10.1,11.2,13.0,1.8,,,,,0
Elementary,22,54.18,53.2,9.7,8.5,31.2,3.8,,,,,0
Middle,22,3.07,33.8,6.8,5.2,20.8,1.0,,,,,0
K-8,23,61.7,40.9,2.6,3.2,32.1,3.0,,,,,0
K-8,23,61.77,34.2,6.3,3.5,22.9,1.5,,,,,0
K-8,23,62.63,26.6,3.5,4.5,16.8,1.8,,,,,0
K-8,23,66.85,28.4,3.4,3.0,18.5,3.5,,,,,0
K-8,23,65.59,45.9,8.6,6.9,28.6,1.8,,,,,0
Elementary,23,56.4,25.4,8.0,2.9,14.5,0.0,,,,,0
K-8,23,57.83,37.2,5.6,0.8,29.3,1.5,,,,,0
K-8,23,62.56,46.0,8.3,9.6,23.3,4.8,,,,,0
K-8,23,61.84,35.9,3.6,4.4,26.4,1.5,,,,,0
K-8,23,62.67,38.0,7.8,4.0,23.2,3.0,,,,,0
K-8,23,62.86,21.8,1.4,1.4,18.0,1.0,,,,,0
K-8,23,59.29,46.0,9.9,3.6,29.7,2.8,,,,,0
K-8,23,57.98,27.5,3.2,4.1,17.7,2.5,,,,,0
K-8,23,61.43,11.7,3.0,1.8,6.9,0.0,,,,,0
Middle,23,3.66,50.9,7.7,14.0,29.2,0.0,,,,,0
Middle,23,2.63,36.4,7.3,7.4,19.9,1.8,,,,,0
Middle,23,3.23,11.1,6.2,0.0,4.9,0.0,,,,,0
Elementary,23,61.89,24.5,3.6,2.6,18.3,0.0,,,,,0
Middle,23,2.24,28.3,6.0,2.9,17.1,2.3,,,,,0
Middle,23,2.68,65.9,11.9,7.9,41.1,5.0,,,,,0
Middle,24,2.96,65.4,8.9,11.1,39.1,6.3,,,,,0
Elementary,24,41.84,65.0,11.4,11.8,36.5,5.3,,,,,0
Elementary,24,44.49,48.7,9.2,10.6,28.9,0.0,,,,,0
Elementary,24,56.04,68.8,10.2,9.3,39.5,9.8,,,,,0
Elementary,24,56.98,57.7,12.6,13.3,28.3,3.5,,,,,0
Elementary,24,59.2,54.8,8.6,10.6,33.6,2.0,,,,,0
Elementary,24,22.9,40.2,5.8,8.0,25.1,1.3,,,,,0
Elementary,24,32.68,58.9,6.3,11.7,36.6,4.3,,,,,0
Middle,24,2.8,53.9,7.9,5.8,37.4,2.8,,,,,0
Elementary,24,54.43,55.6,7.6,8.8,32.9,6.3,,,,,0
Elementary,24,37.4,36.0,2.1,2.0,27.4,4.5,,,,,0
Middle,24,2.98,64.5,4.5,12.0,37.5,10.5,,,,,0
Middle,24,2.74,46.9,7.1,9.6,26.2,4.0,,,,,0
Elementary,24,55.46,62.4,10.1,7.9,34.4,10.0,,,,,0
K-8,24,40.04,57.5,11.9,3.7,34.4,7.5,,,,,0
Elementary,24,41.72,35.1,6.9,3.5,23.9,0.8,,,,,0
Elementary,24,57.28,64.8,9.4,11.2,41.9,2.3,,,,,0
Elementary,24,41.4,45.7,5.8,5.3,29.1,5.5,,,,,0
Middle,24,2.83,59.9,5.5,10.8,38.6,5.0,,,,,0
K-8,24,36.06,60.4,11.6,9.8,33.2,5.8,,,,,0
Elementary,24,30.2,61.3,10.5,14.6,33.2,3.0,,,,,0
Middle,24,3.22,26.1,3.3,8.4,12.4,2.0,,,,,0
Middle,24,3.1,55.6,8.6,9.3,32.2,5.5,,,,,0
Elementary,24,61.92,34.6,8.1,11.1,14.9,0.5,,,,,0
Elementary,24,35.75,58.8,7.6,6.5,37.4,7.3,,,,,0
Elementary,24,47.79,52.2,9.1,7.1,33.7,2.3,,,,,0
Elementary,24,34.02,76.8,9.4,10.4,47.5,9.5,,,,,0
Elementary,24,57.61,51.8,10.2,6.3,33.8,1.5,,,,,0
Elementary,24,41.62,78.1,10.3,15.1,45.4,7.3,,,,,0
Elementary,25,39.45,56.6,8.2,10.3,35.6,2.5,,,,,0
Elementary,25,34.76,53.0,8.8,12.8,27.9,3.5,,,,,0
Elementary,25,37.53,61.3,7.8,9.6,36.6,7.3,,,,,0
Elementary,25,33.64,75.7,12.3,12.8,42.3,8.3,,,,,0
Middle,25,3.29,42.6,6.4,10.3,21.9,4.0,,,,,0
Elementary,25,41.7,52.9,6.6,9.5,33.0,3.8,,,,,0
Elementary,25,24.81,69.1,12.4,10.9,36.0,9.8,,,,,0
Elementary,25,20.32,34.5,2.8,3.6,26.8,1.3,,,,,0
Elementary,25,28.99,47.7,11.2,8.7,24.5,3.3,,,,,0
Elementary,25,33.12,61.3,6.1,9.8,38.6,6.8,,,,,0
Elementary,25,37.49,47.0,10.9,11.8,20.0,4.3,,,,,0
Elementary,25,35.84,38.6,6.8,10.2,20.3,1.3,,,,,0
Elementary,25,31.39,44.9,5.2,5.1,30.1,4.5,,,,,0
K-8,25,32.89,71.5,5.2,10.9,44.1,11.3,,,,,0
