district,peer_index,overall_score,environment_score,performance_score,progress_score,additional_credit,num_test_takers,sat_critical_reading_mean,sat_mathematics_mean,sat_writing_mean
11,2.63,70.8,9.4,19.4,36.0,6.0,92.0,427.0,416.0,424.0
11,1.99,86.5,14.4,23.1,44.5,4.5,40.0,359.0,340.0,338.0
11,2.03,93.8,8.4,25.0,49.9,10.5,47.0,393.0,395.0,389.0
12,1.97,24.1,6.3,3.8,12.5,1.5,24.0,368.0,349.0,358.0
12,1.97,91.6,14.5,18.6,52.5,6.0,42.0,340.0,361.0,335.0
12,2.06,80.1,8.9,16.9,48.3,6.0,34.0,364.0,364.0,344.0
12,1.89,33.2,3.9,9.4,19.9,0.0,41.0,383.0,360.0,387.0
12,1.95,69.6,10.4,17.6,34.1,7.5,22.0,415.0,390.0,397.0
12,2.17,56.0,9.2,13.6,30.2,3.0,24.0,408.0,400.0,401.0
12,2.13,57.9,10.7,12.8,31.4,3.0,12.0,359.0,366.0,359.0
12,2.09,76.5,13.2,23.8,38.0,1.5,50.0,291.0,333.0,291.0
12,1.75,76.8,13.1,22.4,33.8,7.5,75.0,333.0,326.0,330.0
12,1.98,66.4,8.7,16.5,36.7,4.5,58.0,386.0,397.0,383.0
12,1.91,49.0,6.5,11.7,30.8,0.0,47.0,355.0,369.0,366.0
12,1.84,72.9,8.0,12.7,47.7,4.5,70.0,346.0,341.0,356.0
13,2.57,76.4,6.6,20.2,48.1,1.5,46.0,387.0,369.0,369.0
13,2.25,65.4,8.7,18.4,36.8,1.5,59.0,394.0,371.0,371.0
13,2.36,56.0,9.6,11.8,31.6,3.0,43.0,393.0,356.0,377.0
13,2.48,80.5,8.3,16.0,50.2,6.0,104.0,419.0,421.0,409.0
13,3.81,61.3,6.5,18.0,36.8,0.0,1047.0,588.0,652.0,581.0
13,2.76,72.2,10.0,18.8,35.9,7.5,104.0,414.0,415.0,412.0
13,2.2,71.7,5.9,17.3,47.0,1.5,103.0,367.0,361.0,360.0
13,2.17,61.2,7.5,19.1,33.1,1.5,40.0,416.0,386.0,408.0
13,2.13,76.5,11.5,19.6,42.4,3.0,19.0,403.0,384.0,377.0
13,2.47,60.9,10.3,12.6,36.5,1.5,20.0,366.0,380.0,362.0
13,3.07,90.2,9.4,20.5,54.3,6.0,50.0,453.0,469.0,441.0
13,2.25,45.6,7.2,11.0,27.4,0.0,87.0,390.0,360.0,373.0
13,2.27,51.3,8.1,14.6,28.6,0.0,9.0,323.0,281.0,310.0
13,3.28,68.8,6.4,17.6,38.8,6.0,168.0,476.0,477.0,445.0
14,1.89,57.6,9.7,14.8,33.1,0.0,59.0,362.0,369.0,349.0
14,2.06,66.7,6.8,19.0,40.9,0.0,28.0,373.0,377.0,359.0
14,2.51,72.1,9.2,19.6,38.8,4.5,70.0,377.0,366.0,365.0
14,3.63,60.2,10.7,19.1,30.4,0.0,50.0,536.0,534.0,527.0
14,2.3,47.0,7.3,11.6,26.6,1.5,52.0,381.0,381.0,366.0
14,2.43,58.1,6.6,11.7,33.8,6.0,102.0,365.0,375.0,373.0
14,2.53,40.7,3.8,8.0,27.4,1.5,82.0,385.0,390.0,384.0
14,2.54,88.7,8.8,25.0,41.4,13.5,80.0,360.0,390.0,354.0
14,2.41,74.1,10.6,22.9,33.1,7.5,44.0,397.0,377.0,387.0
14,2.45,100.2,12.6,17.1,60.0,10.5,44.0,399.0,393.0,367.0
14,2.64,101.7,13.1,20.9,58.7,9.0,58.0,375.0,386.0,369.0
14,2.02,52.5,5.9,14.0,29.6,3.0,73.0,353.0,359.0,340.0
14,2.09,92.6,13.0,18.5,53.6,7.5,16.0,375.0,386.0,394.0
15,2.24,34.5,6.8,12.6,15.1,0.0,50.0,374.0,365.0,374.0
15,2.14,73.7,9.3,25.0,33.4,6.0,63.0,385.0,380.0,375.0
15,2.51,51.1,8.6,12.2,28.8,1.5,50.0,406.0,409.0,393.0
15,2.34,68.3,7.7,16.9,43.7,0.0,75.0,393.0,372.0,370.0
15,2.28,47.3,8.9,15.2,23.2,0.0,65.0,373.0,395.0,368.0
15,2.31,67.3,6.2,15.2,44.4,1.5,45.0,402.0,414.0,382.0
15,1.93,65.6,8.5,13.0,39.6,4.5,44.0,365.0,358.0,360.0
15,2.11,48.8,10.6,10.2,28.0,0.0,9.0,356.0,352.0,343.0
15,2.43,70.9,13.3,16.0,40.1,1.5,11.0,363.0,382.0,381.0
15,2.03,48.0,7.5,8.3,27.7,4.5,17.0,370.0,348.0,348.0
15,2.87,56.5,8.4,10.1,38.0,0.0,71.0,416.0,417.0,425.0
15,2.35,49.9,12.6,9.4,27.9,0.0,17.0,387.0,371.0,368.0
16,2.44,62.6,6.2,17.9,37.0,1.5,29.0,429.0,421.0,424.0
16,1.79,49.4,6.7,8.7,34.0,0.0,143.0,369.0,367.0,366.0
16,1.97,78.5,11.7,15.7,48.1,3.0,34.0,367.0,364.0,364.0
17,2.51,60.4,5.8,22.7,25.9,6.0,50.0,401.0,412.0,404.0
17,2.35,44.6,5.2,14.9,24.5,0.0,31.0,400.0,405.0,399.0
17,2.29,49.8,6.9,14.1,28.8,0.0,17.0,381.0,344.0,360.0
17,2.15,66.7,13.0,11.2,41.0,1.5,32.0,302.0,339.0,325.0
17,2.28,56.2,6.3,15.3,34.6,0.0,81.0,382.0,387.0,381.0
17,2.21,78.0,14.0,18.0,40.0,6.0,21.0,357.0,391.0,343.0
17,2.26,57.3,6.5,18.1,29.7,3.0,25.0,358.0,378.0,372.0
17,2.15,57.1,8.2,14.3,31.6,3.0,71.0,361.0,376.0,365.0
17,2.12,86.0,11.2,18.5,51.8,4.5,54.0,371.0,366.0,381.0
17,3.23,79.2,11.3,19.2,45.7,3.0,68.0,445.0,425.0,415.0
17,2.27,47.7,7.1,15.3,25.3,0.0,49.0,392.0,390.0,381.0
17,2.98,82.2,11.4,18.4,49.4,3.0,83.0,412.0,427.0,420.0
17,2.45,71.7,11.3,17.7,36.7,6.0,45.0,391.0,396.0,388.0
17,2.45,77.3,9.1,22.4,41.3,4.5,37.0,385.0,351.0,381.0
17,2.43,66.6,15.0,7.1,41.5,3.0,20.0,356.0,358.0,366.0
17,3.32,69.4,7.4,16.2,45.8,0.0,113.0,459.0,482.0,452.0
17,2.55,49.4,8.7,12.5,28.2,0.0,282.0,419.0,413.0,411.0
17,1.83,55.4,6.5,12.7,36.2,0.0,121.0,355.0,358.0,348.0
18,2.19,50.4,7.8,11.3,31.3,0.0,20.0,389.0,358.0,369.0
18,2.3,,,,,,24.0,361.0,365.0,365.0
19,2.93,59.2,8.4,14.7,36.1,0.0,61.0,435.0,428.0,414.0
19,2.16,56.2,7.9,10.6,37.7,0.0,29.0,376.0,375.0,363.0
19,2.22,65.2,8.6,12.6,39.5,4.5,23.0,369.0,372.0,380.0
19,2.2,58.0,4.0,20.4,29.1,4.5,49.0,371.0,363.0,356.0
19,2.27,67.1,6.9,16.8,38.9,4.5,28.0,370.0,371.0,376.0
19,2.51,62.0,7.6,17.0,34.4,3.0,184.0,413.0,419.0,403.0
19,2.49,38.9,7.9,8.0,23.0,0.0,50.0,398.0,402.0,378.0
19,1.78,58.0,6.4,9.4,39.2,3.0,49.0,355.0,367.0,355.0
20,2.35,68.5,9.9,16.2,34.9,7.5,317.0,409.0,471.0,407.0
20,2.58,77.4,11.6,19.9,39.9,6.0,221.0,450.0,471.0,440.0
20,2.59,69.5,11.0,13.2,36.3,9.0,581.0,416.0,486.0,409.0
20,2.29,64.9,9.8,12.0,37.1,6.0,385.0,387.0,492.0,377.0
21,2.05,48.2,11.2,5.9,31.1,0.0,35.0,355.0,395.0,355.0
21,2.57,59.1,5.3,14.0,33.8,6.0,66.0,422.0,459.0,418.0
21,2.36,67.8,9.0,18.2,37.6,3.0,33.0,370.0,427.0,381.0
21,2.53,50.8,7.8,8.7,31.3,3.0,379.0,386.0,429.0,385.0
21,2.75,70.1,9.8,17.0,34.3,9.0,686.0,472.0,503.0,468.0
21,2.65,55.5,5.7,10.0,32.3,7.5,349.0,414.0,465.0,396.0
21,2.02,46.0,6.3,12.3,27.4,0.0,56.0,385.0,393.0,361.0
21,2.5,70.4,8.6,17.0,34.3,10.5,86.0,426.0,419.0,418.0
21,2.32,85.0,11.7,24.8,42.5,6.0,13.0,402.0,351.0,380.0
22,3.16,65.8,7.5,17.4,31.9,9.0,725.0,493.0,543.0,491.0
22,2.72,59.6,10.9,12.0,30.7,6.0,641.0,449.0,478.0,445.0
22,2.21,57.2,8.2,12.0,34.0,3.0,192.0,380.0,416.0,380.0
22,3.54,64.5,7.5,14.5,42.5,0.0,239.0,543.0,578.0,559.0
22,3.27,74.2,12.5,17.2,44.5,0.0,109.0,459.0,460.0,446.0
23,2.25,53.7,9.4,15.1,29.2,0.0,37.0,394.0,372.0,375.0
23,2.38,63.9,8.8,18.0,37.1,0.0,50.0,416.0,396.0,414.0
23,2.23,69.0,12.6,13.3,43.1,0.0,18.0,347.0,371.0,323.0
23,2.21,32.0,4.7,2.7,24.6,0.0,35.0,349.0,329.0,341.0
23,2.24,54.2,9.6,18.8,25.8,0.0,12.0,385.0,378.0,391.0
23,2.36,76.9,10.3,18.5,45.1,3.0,59.0,396.0,389.0,389.0
24,2.82,92.4,9.3,20.9,53.2,9.0,65.0,407.0,432.0,417.0
24,2.46,78.1,10.5,20.6,42.5,4.5,67.0,411.0,420.0,407.0
24,3.7,76.6,12.1,17.8,46.7,0.0,42.0,545.0,548.0,541.0
24,2.35,53.7,8.6,11.2,30.9,3.0,251.0,379.0,427.0,372.0
24,2.38,60.0,8.7,10.6,36.2,4.5,269.0,398.0,431.0,391.0
24,2.58,65.2,10.1,18.0,34.1,3.0,32.0,386.0,402.0,373.0
24,2.63,76.1,14.1,14.2,41.8,6.0,75.0,355.0,428.0,359.0
24,2.52,86.9,10.7,15.1,50.6,10.5,127.0,363.0,372.0,363.0
24,2.65,51.5,7.5,8.2,32.8,3.0,49.0,420.0,440.0,421.0
24,2.58,72.8,10.5,13.6,36.7,12.0,130.0,415.0,428.0,401.0
24,3.05,79.0,9.8,17.1,40.1,12.0,289.0,444.0,494.0,427.0
24,2.54,58.2,13.0,11.3,30.9,3.0,7.0,416.0,413.0,364.0
25,2.45,64.5,13.9,11.5,39.1,0.0,57.0,325.0,415.0,311.0
25,2.93,79.5,5.6,17.4,47.5,9.0,50.0,438.0,485.0,442.0
25,2.82,72.0,8.4,18.0,39.6,6.0,56.0,429.0,425.0,421.0
25,2.45,61.1,8.3,12.9,36.9,3.0,302.0,391.0,423.0,389.0
25,2.45,51.2,8.5,10.5,29.2,3.0,278.0,372.0,398.0,366.0
25,3.98,80.4,11.3,24.0,45.1,0.0,273.0,637.0,644.0,642.0
25,2.4,48.2,5.7,9.3,28.7,4.5,22.0,400.0,395.0,391.0
25,2.7,46.9,6.8,12.3,24.8,3.0,61.0,449.0,471.0,462.0
25,2.31,67.3,11.7,13.6,39.0,3.0,22.0,434.0,422.0,422.0
26,3.03,63.0,8.0,15.7,31.8,7.5,697.0,486.0,551.0,492.0
26,2.92,68.0,9.7,15.8,36.5,6.0,808.0,457.0,530.0,454.0
26,2.38,52.7,5.4,16.6,29.2,1.5,343.0,402.0,411.0,398.0
26,3.08,69.4,9.2,15.1,31.6,13.5,732.0,472.0,531.0,467.0
26,2.8,61.8,8.3,17.3,36.2,0.0,144.0,438.0,455.0,433.0
27,2.45,51.4,5.5,15.9,30.0,0.0,65.0,393.0,390.0,387.0
27,2.91,85.1,11.3,19.5,51.3,3.0,63.0,455.0,423.0,420.0
27,2.13,49.6,7.6,10.0,30.5,1.5,102.0,377.0,372.0,362.0
27,2.05,37.8,6.1,9.4,22.3,0.0,114.0,393.0,390.0,380.0
27,2.38,52.1,6.0,7.9,36.7,1.5,397.0,380.0,401.0,380.0
27,2.32,60.6,7.7,9.3,34.6,9.0,302.0,399.0,424.0,404.0
27,3.21,76.1,8.1,15.0,44.0,9.0,87.0,421.0,464.0,424.0
28,2.87,70.3,6.9,15.3,40.6,7.5,627.0,468.0,491.0,462.0
28,2.26,45.0,7.3,8.6,29.1,0.0,153.0,393.0,400.0,391.0
28,2.57,57.1,12.4,10.4,32.8,1.5,498.0,385.0,400.0,385.0
28,2.89,70.1,8.7,19.3,37.6,4.5,529.0,455.0,490.0,439.0
28,3.54,67.1,6.2,18.2,42.7,0.0,89.0,525.0,532.0,515.0
28,3.89,72.3,9.6,22.0,40.7,0.0,99.0,613.0,650.0,612.0
28,2.59,60.0,8.3,15.2,32.0,4.5,62.0,408.0,429.0,412.0
29,2.43,70.0,7.3,15.1,46.1,1.5,46.0,372.0,388.0,381.0
29,2.54,72.7,9.4,18.1,42.2,3.0,42.0,406.0,415.0,394.0
29,2.34,73.2,8.7,18.2,41.8,4.5,55.0,394.0,358.0,388.0
29,2.6,79.6,9.5,16.6,44.5,9.0,68.0,425.0,435.0,418.0
29,2.55,61.7,9.7,15.2,35.3,1.5,18.0,413.0,402.0,388.0
29,2.61,48.5,5.0,14.1,29.4,0.0,59.0,405.0,430.0,405.0
29,2.3,41.4,4.3,14.2,19.9,3.0,60.0,406.0,412.0,391.0
29,2.15,46.6,6.1,11.2,29.3,0.0,52.0,388.0,389.0,380.0
29,2.48,55.8,7.2,20.0,27.1,1.5,45.0,383.0,371.0,370.0
30,2.41,56.1,8.2,11.4,30.5,6.0,322.0,405.0,456.0,408.0
30,2.47,55.4,6.3,12.3,32.3,4.5,296.0,418.0,434.0,408.0
30,3.38,75.2,6.0,22.9,43.3,3.0,153.0,506.0,495.0,499.0
30,2.45,70.2,11.5,16.5,36.2,6.0,140.0,440.0,452.0,424.0
30,2.22,80.5,13.7,25.0,38.8,3.0,147.0,343.0,447.0,346.0
30,3.03,70.5,8.9,18.7,36.9,6.0,120.0,502.0,505.0,515.0
30,3.58,71.4,8.5,18.5,44.4,0.0,64.0,560.0,587.0,570.0
31,2.66,87.6,11.1,23.6,46.9,6.0,86.0,508.0,523.0,502.0
31,2.39,75.7,10.4,16.8,41.0,7.5,282.0,431.0,446.0,434.0
31,2.2,65.3,8.3,15.1,35.9,6.0,237.0,437.0,442.0,425.0
31,2.33,69.8,8.7,18.1,35.5,7.5,373.0,439.0,441.0,430.0
31,2.82,68.4,6.5,16.6,34.8,10.5,698.0,459.0,482.0,467.0
31,2.49,78.7,10.4,20.6,44.7,3.0,531.0,463.0,482.0,457.0
31,2.15,77.9,12.4,19.6,44.4,1.5,10.0,474.0,431.0,397.0
31,1.88,76.0,9.7,18.4,43.4,4.5,48.0,411.0,429.0,386.0
31,3.89,77.4,10.4,24.1,42.9,0.0,287.0,638.0,673.0,617.0
32,2.02,84.4,7.1,17.5,52.3,7.5,36.0,382.0,369.0,374.0
32,2.42,48.5,7.0,11.4,30.1,0.0,82.0,389.0,390.0,376.0
32,2.07,85.9,10.8,19.0,51.6,4.5,72.0,363.0,364.0,358.0
32,1.92,66.1,9.4,14.6,37.6,4.5,49.0,355.0,361.0,353.0
32,2.86,82.4,13.5,15.1,53.8,0.0,29.0,394.0,420.0,395.0
32,1.91,64.3,10.8,15.3,36.7,1.5,30.0,357.0,345.0,351.0
